,topics0,topics1,topics2,topics3,topics4,topics5
doc0,0.0009126277228056199,0.0009127852691482224,0.0009127504594886148,0.9954366343796347,0.0009126229084402091,0.0009125792604826476
doc1,0.7824723783487678,0.08297267957957939,0.03851482894699056,0.0003975222313575059,0.00039753880424340637,0.0952450520890613
doc2,0.17359625735088652,0.04641303635814979,0.7659481043258727,0.0128767431303783,0.0005829226452242766,0.0005829361894882356
doc3,0.38453892349504676,0.00179911079168693,0.5464874104101254,0.0017990642480063062,0.06357661122884294,0.0017988798262915722
doc4,0.0034973181588241063,0.08277491856267909,0.5214740785122411,0.0034971075960573057,0.003497369980425069,0.3852592071897733
doc5,0.7735305486314288,0.0011039838211385072,0.0011040250157851087,0.0011038930436877874,0.001104121065822837,0.22205342842213685
doc6,0.0015246528146845167,0.0015248184817142248,0.40070106755814683,0.0015246185076261743,0.4556051978277239,0.1391196448101043
doc7,0.8112448861558698,0.01983623329691351,0.08139767807142219,0.008208673246674415,0.078776517612156,0.0005360116169641465
doc8,0.37011899533591264,0.1832820136606253,0.08843748687495405,0.015542257572302567,0.09333740318716245,0.249281843369043
doc9,0.0009473209471989414,0.0009472379398023675,0.17226893444194435,0.017002832152193614,0.0009472310868639365,0.8078864434319968
doc10,0.0013969848078133561,0.19828259892036598,0.3161739654208688,0.04039305114435165,0.0013968747364860056,0.4423565249701141
doc11,0.0005275703548335179,0.060535996567909006,0.08998055250646791,0.0005275495957194476,0.0005275333532195115,0.8479007976218507
doc12,0.0006346900379874097,0.0006346779533456346,0.7320821512824846,0.011441838776592292,0.25457197766902034,0.0006346642805697894
doc13,0.0007165954501403205,0.4223277953182333,0.2637768374186664,0.0007164354667283325,0.0007164838459962997,0.31174585250023534
doc14,0.2151707259806099,0.0006870013284568934,0.03889688383754614,0.30047812063698653,0.053886224714490456,0.3908810435019102
doc15,0.0009126277228056199,0.0009127852691482224,0.0009127504594886148,0.9954366343796347,0.0009126229084402091,0.0009125792604826476
doc16,0.0009126277228056199,0.0009127852691482224,0.0009127504594886148,0.9954366343796347,0.0009126229084402091,0.0009125792604826476
doc17,0.0009473692087481232,0.9236995056294992,0.0009471724886311106,0.0009475831807510384,0.0009472088473312778,0.07251116064503903
doc18,0.0010919432848631762,0.15843486071758384,0.6145297101099402,0.0010918475477103115,0.22375967505111435,0.001091963288788223
doc19,0.47866851370312247,0.10751545419992256,0.11161503830280542,0.00036291378848337665,0.00036294566980177935,0.3014751343358643
doc20,0.0013776237143678757,0.6020198896873503,0.1102636238811093,0.0013775515975055499,0.28358346357696596,0.0013778475427012491
doc21,0.0005632221085995675,0.8816614759932724,0.0005631712451481757,0.0005631114946971779,0.0005632162993403511,0.11608580285894257
doc22,0.002101379551044061,0.0021016053013018926,0.3738003433961352,0.002101626329271795,0.6177935357257742,0.00210150969647285
doc23,0.8089924858074455,0.0007114358085249468,0.18816171705558232,0.000711449996350732,0.0007114306895699359,0.0007114806425264569
doc24,0.40896187793132943,0.22636073392468667,0.2441604889088121,0.000850609375388548,0.0008506574010543918,0.11881563245872885
doc25,0.4334920342907185,0.0004513929538465645,0.07045155130580998,0.012152810817918604,0.4830008052033977,0.0004514054283087078
doc26,0.6962403730543673,0.2583852069803296,0.0010248022355377384,0.0010247561203240213,0.001024890099936424,0.042299971509504986
doc27,0.06900343099721358,0.0010248455212687273,0.0010248685535545023,0.02108394881940095,0.7587131492488343,0.1491497568597279
doc28,0.00036694365579963346,0.5974004835612924,0.00036696243752877913,0.043024302797196635,0.006391516924197282,0.35244979062398535
doc29,0.0008294016661615892,0.6332943978399171,0.0008294283425428454,0.06035667347227967,0.00082944766419865,0.3038606510148999
