,topics0,topics1,topics2,topics3
doc0,0.18657142999168866,0.001684229493357358,0.8100603779012965,0.0016839626136575382
doc1,0.6412451119808614,0.0005118395118254529,0.3577311851777724,0.0005118633295406332
doc2,0.7542897438329123,0.0008039167433138763,0.0008040670203591564,0.24410227240341462
doc3,0.0005453596955849717,0.0005453481070342978,0.17236392215159782,0.826545370045783
doc4,0.001213979984134179,0.0012137658018030078,0.32277808190674556,0.6747941723073172
doc5,0.0007671249265150997,0.0007671421628345308,0.9034586312267487,0.09500710168390165
doc6,0.0015294309197357331,0.0015293771712982915,0.7602190001662851,0.23672219174268103
doc7,0.19551320251487844,0.175889446920935,0.4735429151114149,0.1550544354527716
doc8,0.29888135967709734,0.0006606043307436112,0.4329951862348656,0.2674628497572934
doc9,0.0013090497504533664,0.001309405747683947,0.053604520514061144,0.9437770239878016
doc10,0.000778950659029601,0.0007789398909552709,0.23367501030376103,0.7647670991462541
doc11,0.5681476910263044,0.0006121838404665738,0.05868668479319686,0.37255344034003207
doc12,0.19415830409925403,0.0007498401490287017,0.6486310523725823,0.15646080337913496
doc13,0.0010268986546527635,0.9969191406717843,0.001026997334736271,0.0010269633388266038
doc14,0.0010268986546527635,0.9969191406717843,0.001026997334736271,0.0010269633388266038
doc15,0.9966047137840067,0.0011320320267905585,0.0011316540314799334,0.0011316001577227292
doc16,0.33609311502583267,0.0010063439230382164,0.001006316950860722,0.6618942241002684
doc17,0.10738077360040839,0.017923623059174734,0.18476180152768237,0.6899338018127346
doc18,0.761119729250509,0.0005202645308836036,0.0842875220586758,0.15407248415993155
doc19,0.03285881433973295,0.0008978233953922129,0.27907285447779584,0.687170507787079
doc20,0.0046743401213444405,0.0046757579662527774,0.004673321433058148,0.9859765804793447
doc21,0.0004643613911704118,0.00046432979517768626,0.2763147318618025,0.7227565769518495
doc22,0.0007612343103014645,0.04960592948739965,0.7117150809878179,0.23791775521448105
doc23,0.8486695496734521,0.0005228131255827876,0.15028499451769362,0.000522642683271402
doc24,0.37268114961008764,0.0005366427977828255,0.0005366553016767252,0.6262455522904528
doc25,0.08106025982811733,0.0017426199829218027,0.7421832851394672,0.1750138350494936
doc26,0.326886911379516,0.05396194027732481,0.1354916896663657,0.48365945867679344
doc27,0.1437840415988545,0.0012137353395580265,0.7144376136970071,0.14056460936458054
doc28,0.12279833417471887,0.0012440162055926767,0.650841189972604,0.2251164596470845
doc29,0.22657320362629416,0.0009312459675039854,0.10365917889703746,0.6688363715091644
doc30,0.4989029499837398,0.0007850618554123814,0.40466251174540413,0.09564947641544375
doc31,0.0019848360364137256,0.001984573742404566,0.2633938681959508,0.7326367220252309
doc32,0.0023593847314367575,0.002359356340660933,0.0023589595675440945,0.9929222993603583
doc33,0.0012137682912030565,0.0012137706782363838,0.001213813407526631,0.9963586476230339
doc34,0.424101737743157,0.009616635951626694,0.5566627415146231,0.009618884790593057
doc35,0.13647675641261997,0.001908706101837302,0.001908922212046813,0.8597056152734959
doc36,0.2945838312076851,0.0034028184251912643,0.003402151314279804,0.6986111990528439
doc37,0.4489109177511998,0.002024692629604512,0.0020246919966376603,0.547039697622558
doc38,0.0007789731553796231,0.3123193870161637,0.000779027945876704,0.6861226118825801
doc39,0.19946147009400986,0.0011064431877953476,0.0011065963694775322,0.7983254903487171
doc40,0.11895067081840754,0.0006833129616728581,0.8796827625444218,0.0006832536754977234
doc41,0.05286605604002919,0.0016288989550567099,0.9438760331281145,0.0016290118767995961
doc42,0.000772884419517917,0.0007729557478158753,0.0007729140828867053,0.9976812457497796
doc43,0.9877016430965174,0.004098807694723659,0.004100089380482001,0.004099459828276845
doc44,0.0004379593298886772,0.0004379708878164458,0.43213626855801607,0.5669878012242788
doc45,0.0016559464876654156,0.001655812888698747,0.0016561575340807622,0.9950320830895552
doc46,0.0004304152310648992,0.0004303660184555514,0.09131810638260529,0.9078211123678743
doc47,0.0007976738420585975,0.0007975247787982641,0.4271500713454764,0.5712547300336668
doc48,0.002304674698697141,0.0023055398769932533,0.1932007336827075,0.8021890517416022
doc49,0.005156469081865367,0.005155632348616734,0.9845308798755033,0.005157018694014633
doc50,0.0019089635009081158,0.0019090814579039081,0.9942729901564263,0.0019089648847615754
doc51,0.8493584755834412,0.0004754095196076358,0.00047543658729001825,0.14969067830966118
doc52,0.0011993520808974232,0.0011993007832755867,0.0011995270165773857,0.9964018201192497
doc53,0.0013815509836223043,0.0013814478173562643,0.7229655307838359,0.27427147041518557
doc54,0.002604973611147803,0.0026047872475152473,0.9921850223525617,0.002605216788775329
doc55,0.45224715751924527,0.001629160779608078,0.0016291380755266525,0.54449454362562
doc56,0.0035219163775264037,0.0035218122612574064,0.0035222408621103586,0.9894340304991058
doc57,0.6390321755724705,0.0015293017726388605,0.0015293443863555875,0.35790917826853497
doc58,0.0013265716441535238,0.0013265833310324446,0.0013266350605354144,0.9960202099642786
doc59,0.2035293863549,0.0007124823467817673,0.33928800742727916,0.45647012387103897
doc60,0.0012922604364906342,0.0012922406647901457,0.0012924341422079551,0.9961230647565111
doc61,0.0006650417182726098,0.0006650761596568998,0.33029835654315026,0.6683715255789202
doc62,0.7238785679760333,0.0011711231431367514,0.13120496867328105,0.1437453402075489
doc63,0.2204109624817036,0.0364555191128524,0.741751858826925,0.0013816595785190633
doc64,0.000967548835530542,0.9970978675278978,0.0009672777594966868,0.0009673058770750612
doc65,0.000967548835530542,0.9970978675278978,0.0009672777594966868,0.0009673058770750612
doc66,0.9968874147785715,0.001037506177234758,0.0010375077431875436,0.0010375713010061397
doc67,0.6213430872770853,0.0006120581289927454,0.0006121862494082655,0.3774326683445137
doc68,0.9930859228619742,0.0023046974661238167,0.002304637170772663,0.002304742501129337
doc69,0.0013267440644263767,0.0013264223740629476,0.32363403909449295,0.6737127944670178
doc70,0.001984698257187665,0.001984647370169964,0.8289108790077675,0.167119775364875
doc71,0.000976908549187005,0.0009766522760324687,0.997069545249133,0.0009768939256475258
doc72,0.0009674404643218331,0.0009675260834388862,0.7891073549792484,0.20895767847299077
