,topics0,topics1,topics2,topics3,topics4,topics5,topics6,topics7,topics8,topics9,topics10,topics11
doc0,0.0006888099802057327,0.04952961263504959,0.0006888990267751014,0.08328124719612325,0.8060391473131039,0.0006888644773450171,0.05563909952895564,0.0006888214954527961,0.0006888435887159687,0.0006888157216175354,0.0006889015639946485,0.0006889374726607725
doc1,0.002119185288887938,0.002118966901470708,0.7968906357632264,0.002119064064290069,0.0021192927872854847,0.0021190358698800734,0.0021189552728591333,0.0021190066289702154,0.0021190064991592895,0.0021189399901013132,0.0021190386081189803,0.18191887232575052
doc2,0.0011603964822344808,0.001160357509072029,0.295892704752611,0.020194727636079365,0.4915038983107008,0.0011605086644781773,0.0011604631495155733,0.0011605927263203814,0.14792362678007281,0.0011604879215816968,0.0011604652300024204,0.03636177083733116
doc3,0.0007237230720356257,0.0007238296252556913,0.0007237740821107742,0.1642057399703131,0.0007237666119735388,0.0007238148883264351,0.5573507328733784,0.0007236865957956487,0.10267535549220087,0.05909119345130254,0.11161063359522337,0.0007237497420840339
doc4,0.00076818895336734,0.00076831467976017,0.0007682406483963339,0.20053076068832326,0.000768273221140098,0.3364109737012963,0.0007683035831845286,0.022518059873457504,0.0007682501248083475,0.0007681807572845954,0.0007682284130236045,0.434394225355958
doc5,0.06230132567700679,0.20520275129942983,0.0004898111583936666,0.0004897984062680874,0.0004897824738142074,0.0004898448465287926,0.0004899434596861731,0.000489828642952764,0.0004898221698543068,0.02686784302217872,0.0004898111378505648,0.7017094377060361
doc6,0.0013853053428845967,0.0013855487967215363,0.07997411643137571,0.0013854449316018003,0.0013854001878195145,0.15228445059837664,0.0013853408249821196,0.0013854618832398607,0.0013854255580374008,0.11060256320909284,0.0013854117472795794,0.6460555304885882
doc7,0.00097862539686828,0.21722422573146943,0.0009786330126924207,0.0009788002241512455,0.0009787310136546822,0.08394761285111507,0.0009786865091404313,0.014996132370573567,0.0009787623157540414,0.000978646211853529,0.0009787522608614146,0.676002392101866
doc8,0.0012629744426496516,0.001262879745645138,0.1368032464176325,0.27534897860696755,0.12646879554651208,0.08726911087757296,0.001263121646140185,0.001262785865799571,0.0012629124968728924,0.001263171095768036,0.0012629940848512542,0.36526902917358817
doc9,0.10656472065096875,0.0010967302513296604,0.001096546602385769,0.001096623637197513,0.0010966723846370006,0.0010967139822430183,0.0010966558734907652,0.8824685700154495,0.0010966725254582352,0.0010966326777781612,0.0010967056801042332,0.0010967557189574
doc10,0.10656472065096875,0.0010967302513296604,0.001096546602385769,0.001096623637197513,0.0010966723846370006,0.0010967139822430183,0.0010966558734907652,0.8824685700154495,0.0010966725254582352,0.0010966326777781612,0.0010967056801042332,0.0010967557189574
doc11,0.0002154691324896102,0.0002154856579523852,0.00021548603507678724,0.09646372666635789,0.45124315278033,0.017286535690672362,0.02649971796764013,0.00021546460406451765,0.3019432854719862,0.00021548754194436012,0.0826773364248287,0.022808852026657146
doc12,0.0005982386482822945,0.0005982122652625048,0.08708564004124343,0.5138614410562448,0.0005982765454453059,0.0005982640969250668,0.0005982667064098661,0.03690113623714653,0.31216765889894466,0.0005982761019046622,0.04579631481797757,0.0005982745842131997
doc13,0.28007064714994273,0.11716515757631571,0.0007988382469465668,0.2484113516473323,0.0007989333745775747,0.000798902247807087,0.2625882348366771,0.0007987982899107485,0.0007989878048223951,0.0007989105010152356,0.08617239448545118,0.0007988438392013473
doc14,0.5898567704554036,0.001634583398635923,0.0016346078900597472,0.21987452313746755,0.0016344242519960835,0.0016341981263238276,0.0016345292219817214,0.0016342029009196058,0.0016343098213848339,0.0016344311451995971,0.0016343763612888989,0.1755590432893387
doc15,0.0005612861982293015,0.0005613530409540689,0.25556283933066865,0.022241973980342805,0.0005613286354536923,0.16092826922482975,0.0005613470262072822,0.0005612592527430821,0.07110795718713721,0.0746880699062998,0.0005613484957976732,0.41210296772133675
doc16,0.0011471172975649005,0.0011474806552202637,0.0011469450409922115,0.0011472610674517032,0.001146968430463329,0.0011471818016621346,0.0011470430039636963,0.0011469871499650622,0.07876844822180884,0.6989746025182815,0.0011470436371728604,0.21193292117545354
doc17,0.07556917109229594,0.0004112831211061569,0.050599958072902275,0.00041135122388671566,0.00041131451672067837,0.0004113128197763978,0.012638899567614678,0.0004112151431336576,0.0004113135049255463,0.6292920541692762,0.00041131929975846783,0.22902080746860312
doc18,0.000548964974322699,0.08053230231366751,0.0005490103906437498,0.36198083825203947,0.0005489651941245223,0.028416616148469735,0.3204382380013711,0.011002844979659943,0.0005489994238983675,0.03038766868121315,0.16449653539114,0.000549016249449674
