,topics0,topics1,topics2,topics3,topics4,topics5
doc0,0.0004639229801772708,0.653088536215298,0.0004639622658747112,0.34505558475136816,0.00046399357295334476,0.00046400021432823057
doc1,0.0019013998282587522,0.0019016673185666675,0.0019014985464122535,0.0019016036412726465,0.9904922568183852,0.0019015738471044909
doc2,0.1373851416102492,0.0032692808446736304,0.00326877024822682,0.0032689536112209955,0.0032684718004859902,0.8495393818851434
doc3,0.0015726799558791465,0.2646867310065126,0.0015725863010068548,0.6209815624114172,0.0015725791626051277,0.10961386116257918
doc4,0.00032413240927460724,0.8622274218309419,0.07638674608827073,0.00032414062791216513,0.0003241132938231026,0.060413445749777556
doc5,0.00794953647479483,0.05238716477129545,0.3465300185545744,0.0747631819715328,0.22942946756557014,0.2889406306622324
doc6,0.00442669728594993,0.0044264364331120624,0.5980728564475749,0.00442656133590073,0.004425666352798073,0.38422178214466435
doc7,0.0009297506186257936,0.0009295845953546832,0.24983071510613086,0.7464507881437218,0.0009296130905867839,0.0009295484455800831
doc8,0.0008883516640996123,0.16865172637839573,0.23962405058561356,0.5890593400033176,0.000888256549670281,0.0008882748189031357
doc9,0.18983103195891327,0.001678407054975072,0.5176803985343592,0.2874537017570431,0.0016781959054182696,0.0016782647892910093
doc10,0.0011822298590855064,0.0011824275298090718,0.8782207051678161,0.11705009626197642,0.0011822579155929928,0.0011822832657199449
doc11,0.0005896990941591754,0.000589761606451284,0.9970513694989683,0.0005897091243402719,0.0005897184553739102,0.0005897422207071746
doc12,0.0008434591687992509,0.0008433288214807507,0.3364105327257159,0.03645613705235802,0.6246030780336058,0.0008434641980403449
doc13,0.9953950994582774,0.0009210161669644159,0.000920982477530539,0.0009210482841141,0.0009209069632217605,0.0009209466498916717
doc14,0.9953950994582774,0.0009210161669644159,0.000920982477530539,0.0009210482841141,0.0009209069632217605,0.0009209466498916717
doc15,0.0023477574407455085,0.0023480563289880515,0.5632137979037667,0.42739408415031,0.0023482360804415753,0.002348068095748077
doc16,0.0007838234666391699,0.09469904595928465,0.15404084321799674,0.71720319817206,0.0007838378142212753,0.03248925136979811
doc17,0.0008362834118799095,0.4288531854783946,0.057248179113828644,0.5113897200933766,0.0008363113655741375,0.0008363205369461479
doc18,0.0009295933756446946,0.0009296746116832482,0.769274096086702,0.22700750832898364,0.0009295751734074129,0.0009295524235788381
doc19,0.0005537887687903549,0.0005538605729136732,0.6110333676158105,0.3013118074677619,0.0005538319541749321,0.08599334362054856
doc20,0.0036233879287010944,0.0036237554618368246,0.9818799832576749,0.0036245707954738393,0.003623944159204427,0.0036243583971089367
doc21,0.0013971149586484682,0.22563480494076818,0.42930045080332574,0.3408737364127719,0.001396843225411941,0.0013970496590738866
doc22,0.0030678166242608454,0.0030680415416190748,0.9214812791012714,0.003067994278286582,0.06624681615649654,0.0030680522980656285
doc23,0.0008728032010071833,0.0008728670699336094,0.000872891164597785,0.03445895863387475,0.7452252899033601,0.21769719002722662
doc24,0.104938046777056,0.001799028404834765,0.6614215690961699,0.0017991110781128102,0.07938551925923358,0.1506567253845929
doc25,0.0037598831347080857,0.0037604982871737047,0.981198259865317,0.003760484118531532,0.0037602237971424654,0.0037606507971272764
doc26,0.0012111137706323886,0.0012111466000158928,0.4022485642025046,0.0012109779103236492,0.11788516856470124,0.47623302895182223
doc27,0.0010247892261114023,0.0010248382203399905,0.0010249334017882123,0.12646538496690454,0.0010248315491424907,0.8694352226357134
doc28,0.002733060557915552,0.19822135992058443,0.11060572395299022,0.002732909964839663,0.21730177612835652,0.46840516947531363
doc29,0.0025258699696962426,0.8620192486008943,0.002526526766680821,0.0025259208923274776,0.1278762612966675,0.0025261724737337247
doc30,0.023148314055067995,0.0004961859719515868,0.0004961930717721753,0.17346554008854154,0.7446838214295151,0.05770994538315158
doc31,0.0005036435806637496,0.0005036672496101792,0.15174020292778842,0.14240509894442363,0.2360754698480264,0.46877191744948754
doc32,0.08434043496003395,0.0010356071070452035,0.1473401088820089,0.7652129294613754,0.0010354250808655475,0.001035494508670934
doc33,0.0011287892833935598,0.0011289683081088264,0.43869342045966936,0.08204511711626983,0.16466116961191204,0.31234253522064626
doc34,0.0004961517709057738,0.0004961818395551005,0.0004961686963981909,0.0004962084598578894,0.8280748154374608,0.16994047379582233
doc35,0.0012108991326832436,0.23764720262652683,0.34300404105682214,0.3469410611073263,0.0012111505745180037,0.06998564550212333
doc36,0.0013589388691076657,0.3848283464914291,0.19214261204669777,0.3061402541487459,0.0013592088153139665,0.1141706396287056
doc37,0.0008433253497117856,0.07108311847720247,0.2257415753604979,0.06851550556696952,0.0008434137413670877,0.6329730615042513
doc38,0.039966010320084976,0.0856019878626006,0.8718582081754299,0.0008579595173980844,0.0008578686047730575,0.000857965519713371
doc39,0.1389993749918504,0.3015548189211418,0.5524014902113626,0.0023482469659256086,0.002347942779475593,0.002348126130243994
doc40,0.00154828455652627,0.001548353486632242,0.32402825626661097,0.46917873909419594,0.0015482547407133034,0.20214811185532125
doc41,0.0006150703806996759,0.1473201407348352,0.5014602884897065,0.2852395349677716,0.06474975129900354,0.0006152141279835011
doc42,0.0011416822726976151,0.0011418720773207261,0.09376436528742066,0.9016682990837113,0.001141849939543906,0.00114193133930567
doc43,0.0700418182153434,0.13270799146618104,0.2344436446339473,0.561756974004588,0.0005248000029622231,0.0005247716769779152
doc44,0.0010920702706742455,0.0010920478430962344,0.5049107387204352,0.001092032119049414,0.16107464104268412,0.33073847000406065
doc45,0.0020584088470100388,0.002057951024438632,0.27296079986340666,0.002057922677876614,0.002057982419419398,0.7188069351678487
doc46,0.0018659431978486772,0.08967370581274094,0.2115148974331381,0.1254066765156454,0.07737333033499456,0.4941654467056322
doc47,0.0005896990941591754,0.000589761606451284,0.9970513694989683,0.0005897091243402719,0.0005897184553739102,0.0005897422207071746
doc48,0.0016235310825926,0.5250596500491593,0.1545515664187345,0.31551748645968725,0.001623921868117513,0.0016238441217086496
doc49,0.001091890030493421,0.0010919244081889227,0.7601972796489591,0.16902888851794798,0.0010920156047665162,0.06749800178964399
doc50,0.0009042226818105572,0.2140617715324467,0.0009043146881626978,0.6896719244582123,0.0009043491538623607,0.09355341748550525
doc51,0.03796036063975121,0.0008578339447827852,0.3832464840961279,0.5762197353213243,0.0008577953074283872,0.0008577906905854778
doc52,0.0004937022831461184,0.05585214092143645,0.7069621431371501,0.0004937480570289614,0.0004936899298196158,0.23570457567141878
doc53,0.001323361894661913,0.15603934810224607,0.0013230688007809914,0.8386680333235386,0.0013230447470184415,0.0013231431317539569
doc54,0.024455211741803245,0.008415969256295041,0.33420323868777696,0.17583471829431346,0.05446630303329674,0.4026245589865146
