,topics0,topics1,topics2,topics3,topics4,topics5,topics6,topics7,topics8,topics9
doc0,0.0006850658466875637,0.0006850727554479748,0.7001281329860337,0.0006850919167777713,0.0006851300889817118,0.000685019043908686,0.0006850528134610431,0.18584990934065668,0.10922641597874522,0.0006851092292995953
doc1,0.0005264696525012827,0.12629795216050166,0.000526440459400854,0.000526456607351183,0.0005264591666638751,0.0005263903512776719,0.06576328913760203,0.22451982251540598,0.0005264965989910047,0.5802602233503045
doc2,0.001786192365710343,0.1462238228954244,0.0017862198232155614,0.00178673308822062,0.0017860585559490503,0.0017857668419504111,0.0017860164623724935,0.10507475437777722,0.7361984290696486,0.0017860065197312417
doc3,0.000598973207617599,0.2641816346635817,0.027801170205770526,0.06754327611700793,0.0005989659226218779,0.0005989131761992484,0.0005989347716058981,0.0005989897970145159,0.0005989257206126397,0.636880216417968
doc4,0.43950495132767015,0.0018187820250559468,0.001818499630394971,0.0018185361832449799,0.08834911829218475,0.0018183734066759567,0.0018188034454696559,0.0018186324851793645,0.13095168684840264,0.3302826163557216
doc5,0.0023813092031107603,0.9785679482960881,0.0023814272510701492,0.0023812009538563533,0.0023813289193922783,0.002381077049820598,0.002381783384228691,0.0023812963954156327,0.002381209056369946,0.0023814194906476003
doc6,0.003449264955231085,0.0034490832915063225,0.003449476542397272,0.0034488498693200777,0.003449266590384871,0.003449111400557345,0.0034491030808608603,0.003449185570972866,0.7050981148396568,0.2673085438591125
doc7,0.3590107636428222,0.6258918454352141,0.0018870553586841138,0.0018871087732108707,0.0018871144070151643,0.001887432552539693,0.0018873830078671955,0.001887040290055758,0.0018870978510438557,0.0018871586815468586
doc8,0.10732181868260378,0.7737069410646783,0.0007754316664722946,0.0007753475198832493,0.000775404110756848,0.0007753080247979346,0.11354346857779678,0.0007755493112497922,0.0007753877563236628,0.0007753432854375946
doc9,0.0010755896830688938,0.7463662321257288,0.001075471950331261,0.001075537833764047,0.0010755958953279393,0.09692186813799288,0.1491829211225957,0.0010756181664227803,0.0010754618604372633,0.001075703224330413
doc10,0.0007247762572989038,0.25039236427687733,0.06167407478599868,0.44424660694258744,0.0007247608199835678,0.0007248786957954917,0.23933799122257607,0.0007248955968935719,0.000724894063162707,0.000724757338826306
doc11,0.11989084797239992,0.5113713363614052,0.0006850135528058003,0.0006850040304723044,0.0006851683715211345,0.0006850451082784189,0.3639421526762238,0.0006851813469765449,0.000685038378294926,0.0006852122016221502
doc12,0.0009175613004339164,0.1136014868832857,0.0009175890184300858,0.0009176179612912922,0.0009175383164106753,0.0009178028769101533,0.0009178027979739083,0.0009176507245183819,0.0009175611240041852,0.8790573889967417
doc13,0.000926098103870498,0.0009260224608773462,0.0009262069305762362,0.0009265229163130128,0.0009262062055682711,0.991664395005422,0.0009261222306285703,0.0009262305839364839,0.0009260364024029807,0.0009261591604044628
doc14,0.000926098103870498,0.0009260224608773462,0.0009262069305762362,0.0009265229163130128,0.0009262062055682711,0.991664395005422,0.0009261222306285703,0.0009262305839364839,0.0009260364024029807,0.0009261591604044628
doc15,0.00044258837953316265,0.4020952363839522,0.03686355533511036,0.15767959763585035,0.11206208729408303,0.0004426067538722851,0.21955543803564176,0.0004426560696525333,0.00044260624144611507,0.06997362787085802
doc16,0.0007144622605845585,0.0007145277165482,0.000714476970723164,0.2592648994234791,0.0007144906418907318,0.0100109007446236,0.36327972467620134,0.21126272007016064,0.15260936390676197,0.0007144335890267884
