,topics0,topics1,topics2,topics3,topics4,topics5,topics6,topics7
doc0,0.21038874317891576,0.5867756923859236,0.035558625130086265,0.0010333987139445034,0.0010332963554192675,0.05557962522474888,0.10859722513717683,0.0010333938737848358
doc1,0.11235776340829133,0.26529618380532516,0.0007311558005478974,0.26614544018554875,0.2996630652216964,0.05434397643971094,0.0007312398660202447,0.0007311752728592368
doc2,0.2648369087316978,0.0007950254736917364,0.051660582063127326,0.0007951879909323512,0.5927660864105708,0.0007950669541339235,0.0007951167276034418,0.08755602564824241
doc3,0.001645370924754258,0.22937163839631083,0.001645295948081469,0.5974413924569153,0.0016452260427916078,0.0016453135203636001,0.1649605130336908,0.001645249677092237
doc4,0.000894726722317026,0.0008947361592514918,0.0008946320063582909,0.26421947579368726,0.08758454452128052,0.3195256743305699,0.000894617967841709,0.3250915924986938
doc5,0.0010122358606434545,0.0010122652440352402,0.9929139796221649,0.00101239762200781,0.0010122790520530305,0.0010123165073572672,0.0010122500132595967,0.0010122760784787575
doc6,0.0010122358606434545,0.0010122652440352402,0.9929139796221649,0.00101239762200781,0.0010122790520530305,0.0010123165073572672,0.0010122500132595967,0.0010122760784787575
doc7,0.0007420245362421076,0.01838465898773553,0.0007421573555363295,0.7674040397835187,0.0007420528544593177,0.21050085541356403,0.0007421040322622501,0.0007421070366816726
doc8,0.0005755638692482506,0.09730279134805495,0.0005754718716152815,0.8027896004723513,0.0005754808969504394,0.09703003580302794,0.0005755604379004681,0.0005754953008513654
doc9,0.09756552880417448,0.07903257020982764,0.0005354772638289564,0.1617979316358369,0.0005354441209170558,0.02762528172581882,0.0005354716529220433,0.632372294586674
doc10,0.18996799404666825,0.1625886792741884,0.000521439881815535,0.16952105100558146,0.0005215578644702909,0.16403436162518226,0.0005214989160145964,0.31232341738607905
doc11,0.0007951597730633805,0.000795079468371963,0.0007951122285056151,0.680305662292125,0.2165381236242954,0.0991805645283101,0.0007951292376879718,0.0007951688476406796
doc12,0.2699173825960397,0.16337407750398952,0.0008945791440624051,0.0008946405150563517,0.16351392851354657,0.3996161294105953,0.0008945523569647776,0.0008947099597453296
doc13,0.004809473000828136,0.457078267161739,0.16203562921076478,0.3568409307661978,0.004809465328486621,0.0048088837270556005,0.004808208869446331,0.004809141935481857
doc14,0.08319245393813282,0.13474847240129328,0.002137097339700454,0.7713731735140158,0.0021371752714244453,0.002137487790203889,0.0021371253134994652,0.00213701443172985
doc15,0.0007475262743681333,0.0007475908864815717,0.0007476938318888843,0.6721663111596433,0.0007475193163736429,0.3233481381576008,0.0007476051735462335,0.000747615200097461
doc16,0.22697699502973273,0.45528689565156777,0.0013932825523540811,0.001393239033381704,0.0013929888849592334,0.0013931928912298214,0.0013932648496018728,0.31077014110717266
doc17,0.00025926601256425483,0.0002592527288623921,0.000259223856044033,0.0002592691930925535,0.00025925397638583805,0.13404082627901637,0.00025925931409096544,0.8644036486399435
doc18,0.12416416911130326,0.0004884205566878802,0.0004883806250550821,0.4339640913226851,0.029557191103625837,0.000488419967924469,0.06255918568659026,0.348290141626128
doc19,0.0007154707249718558,0.14232055105117652,0.0007153411226613604,0.16760431994441666,0.6731213471487401,0.014091983337117026,0.000715508179147011,0.0007154784917694241
doc20,0.0014328390675783704,0.0014328630779780042,0.06366943539516572,0.9277328997650217,0.0014329030583582177,0.0014328879611618785,0.0014330245088375478,0.001433147165898349
doc21,0.007812652020445903,0.007812651709332126,0.00781282599275272,0.007813135322083426,0.007812724827381797,0.007813480104987582,0.9453096053051189,0.007812924717897586
doc22,0.0072466363025330575,0.00724712599791545,0.007246782989832234,0.2577712737026402,0.007247374329882283,0.3297654579881783,0.37622769536057094,0.0072476533284476004
doc23,0.0528244028699448,0.0017610643601320914,0.0017611845308028308,0.19625459740777637,0.36146108083487766,0.0017614070927295291,0.0017609934626740223,0.38241526944106263
doc24,0.01724441886585422,0.017244574558742967,0.5344783545391529,0.017244839174414793,0.36205241592404114,0.0172429596775662,0.01724547612096143,0.017246961139266125
doc25,0.010205167992840233,0.010205017922451645,0.01021086177895721,0.010206910730968851,0.010206402009022902,0.010206862214694476,0.9285538994060489,0.01020487794501584
doc26,0.0053200828994656455,0.005320115384694137,0.005320224265428148,0.005320249553954241,0.00532061383221729,0.005321615099171246,0.3515206469300224,0.6165564520350469
doc27,0.007812822527883198,0.007812946740456378,0.007813782573345043,0.007813580248494194,0.007812905593607172,0.007813394373563001,0.9453076056280312,0.007812962314619957
doc28,0.0053193619769584515,0.005319303293628661,0.005319588230974458,0.005319839301492765,0.00531976241603368,0.005319515473503459,0.9627631390988858,0.005319490208522836
doc29,0.2900104363771145,0.007813588253510627,0.007813663683498834,0.007814198300886302,0.007813364587047157,0.007813649419972571,0.6631074874259089,0.007813611952061202
doc30,0.011365356896744661,0.011365743997264524,0.011363726145832207,0.011365099091630077,0.011364669826489577,0.0113668857323597,0.920443736242414,0.011364782067265143
doc31,0.9556887808221745,0.006329273406838393,0.006329701560139548,0.0063296975225206374,0.006329552696467452,0.006331640247888119,0.006331758436559924,0.006329595307411612
doc32,0.017241612998380944,0.01724142874926183,0.01724281681444466,0.017242034485312998,0.017241579625518234,0.017241379311287934,0.8793076609233824,0.017241487092411002
doc33,0.00531950378991403,0.005319253391491756,0.00531945130838786,0.005319844328213261,0.005319475816221854,0.005319933336409018,0.9627627812711395,0.005319756758222752
doc34,0.4789327287218799,0.15858042344087242,0.0013022986645255244,0.0013022514675145613,0.0013025911792454877,0.0013025549117025932,0.026391528265544677,0.3308856233487148
doc35,0.005051038543725614,0.005051178326096232,0.005051099986706348,0.005051282046385531,0.00505063751746503,0.005050739784732672,0.9646428327968888,0.005051190997999696
doc36,0.006329458002999394,0.006329274932217583,0.006331527069856681,0.006329353758064463,0.006329228798658029,0.006330286136685284,0.9556913633086158,0.00632950799290273
doc37,0.0008949286459366985,0.0008947710831542934,0.0008945495447526602,0.48430940080974266,0.41452951013655215,0.0008947643967070643,0.0008947235266484129,0.09668735185650615
doc38,0.001222796296836163,0.2794717665530387,0.0012228189097688237,0.2688327442965467,0.24350096679623032,0.001222706536467543,0.0012227525952329275,0.20330344801587882
doc39,0.0013741039467982906,0.001373966210913385,0.001373963333478249,0.9903819222479169,0.0013741320025369543,0.001374036202661953,0.001373969670143336,0.0013739063855510972
doc40,0.002008569981657877,0.00200852843889171,0.002008401749574981,0.5315175001495641,0.002008859392076677,0.4564310567702939,0.002008494417886803,0.0020085891000539754
doc41,0.0006105793518974335,0.9957257782241723,0.000610565230743717,0.0006106497090372383,0.0006105945974495285,0.0006106572413298034,0.000610548907159914,0.0006106267382101082
doc42,0.0012693429495153309,0.14780057456321738,0.06463020271295111,0.2841470133692491,0.0012693194823913602,0.0012694613975904102,0.18881617717167068,0.31079790835341475
doc43,0.0014540104379011612,0.001453902847847946,0.03322196571952651,0.33574106312468266,0.0014538838516570934,0.5264215262283201,0.0014539059262447887,0.09879974186381975
doc44,0.0017009731027991628,0.0017010497347638355,0.20496472582527273,0.7513046600774349,0.0017010653057030574,0.001701324210091975,0.03522480653253529,0.001701395211399008
doc45,0.00030238007369299,0.00030238932050103383,0.0003023373077714523,0.30381846240057736,0.6943672771268465,0.00030239799351625666,0.00030236159239252795,0.000302394184701914
doc46,0.2218526805622317,0.0014753687540625395,0.0014754925761175926,0.6441968078279692,0.12657372094889432,0.0014751257873143607,0.001475307027564437,0.0014754965158458148
